symbol,lookback_days,r2,er,slope,net_change_pct,max_drawdown_pct,avg_volume,max_single_day_drop,composite_score,last_close,date_range
LIQUID1,60,0.9972,1.0,0.2091,1.14,0.0,474062,0.0,0.9042,1094.72,2025-12-15 to 2026-03-11
LIQUIDADD,60,0.9973,1.0,0.2086,1.11,0.0,556634,0.0,0.9041,1116.83,2025-12-15 to 2026-03-11
LIQUIDCASE,60,0.9974,1.0,0.0211,1.12,0.0,18943561,0.0,0.9041,113.08,2025-12-15 to 2026-03-11
LIQUIDPLUS,60,0.9968,1.0,0.204,1.13,0.0,392222,0.0,0.9039,1075.98,2025-12-15 to 2026-03-11
LIQUIDBETF,60,0.9967,1.0,0.1952,1.09,0.0,313749,0.0,0.9036,1072.35,2025-12-15 to 2026-03-11
CASHIETF,60,0.9972,0.9983,0.1995,1.13,0.0,246939,-0.0,0.9035,1052.89,2025-12-15 to 2026-03-11
LIQGRWBEES,60,0.9972,0.9982,0.1843,1.07,0.0,76219,-0.0,0.9032,1030.89,2025-12-15 to 2026-03-11
GROWWLIQID,60,0.9963,1.0,0.0191,1.06,0.0,376564,0.0,0.9032,108.16,2025-12-15 to 2026-03-11
AONELIQUID,60,0.9962,0.9983,0.1968,1.12,0.0,53688,-0.0,0.9029,1050.21,2025-12-15 to 2026-03-11
HDFCLIQUID,60,0.9969,0.9947,0.1899,1.08,0.0,27804,-0.0,0.9018,1051.4,2025-12-15 to 2026-03-11
GSTL,60,0.9282,0.7797,0.3054,155.27,5.56,28500,-4.03,0.8834,30.25,2025-12-08 to 2026-03-11
LIQUID,60,0.908,1.0,0.203,1.16,0.0,146750,0.0,0.8552,999.99,2025-12-15 to 2026-03-11
LIQUIDETF,60,0.9103,0.9833,0.1874,1.07,0.0,217206,-0.0,0.8502,999.99,2025-12-15 to 2026-03-11
SABEVENTS,60,0.9169,0.4736,0.1751,85.79,17.81,10469,-2.0,0.77,14.77,2025-12-15 to 2026-03-11
SHEETAL,60,0.8827,0.4931,1.8247,59.02,7.73,11766,-4.04,0.7581,237.5,2025-12-15 to 2026-03-11
SBILIQETF,60,0.956,0.5263,0.1959,1.13,0.49,83422,-0.49,0.7157,1029.96,2025-12-15 to 2026-03-11
NARMADA,60,0.8603,0.3806,0.2386,49.07,8.58,199274,-3.25,0.7064,32.11,2025-12-15 to 2026-03-11
NTPC,60,0.8994,0.2436,1.1475,18.16,4.96,10881312,-3.16,0.6707,379.9,2025-12-15 to 2026-03-11
BORANA,60,0.8667,0.2615,2.3338,45.77,11.89,56656,-4.46,0.6682,398.9,2025-12-15 to 2026-03-11
ACUTAAS,60,0.8612,0.2581,11.31,34.48,9.44,359564,-4.56,0.664,2193.0,2025-12-15 to 2026-03-11
TORNTPHARM,60,0.8537,0.2939,11.2546,17.95,3.96,307007,-2.69,0.6622,4431.2,2025-12-15 to 2026-03-11
CPSEETF,60,0.9043,0.2519,0.2637,14.96,4.66,2862616,-3.61,0.6603,102.87,2025-12-15 to 2026-03-11
SUPREMEIND,60,0.8393,0.2649,12.6529,23.41,7.92,288609,-3.35,0.6543,4038.0,2025-12-15 to 2026-03-11
KAPSTON,60,0.8029,0.3096,1.6844,40.8,6.03,25170,-3.41,0.6499,282.4,2025-12-15 to 2026-03-11
SEAMECLTD,60,0.8515,0.2305,6.9098,28.95,7.75,67153,-4.52,0.649,1320.1,2025-12-15 to 2026-03-11
SILKFLEX,60,0.8217,0.2752,0.8865,64.24,10.57,14266,-5.0,0.6482,135.5,2025-11-25 to 2026-03-11
JBCHEPHARM,60,0.8024,0.2955,5.2258,19.42,4.5,241165,-2.92,0.6418,2126.1,2025-12-15 to 2026-03-11
SBC,60,0.8495,0.2818,0.079,13.96,4.14,11338116,-2.79,0.6357,32.17,2025-12-15 to 2026-03-11
INDUSINVIT,60,0.8922,0.2189,0.2451,8.41,3.85,165116,-3.14,0.6093,124.45,2025-12-15 to 2026-03-11
GILT5YBEES,60,0.8246,0.2017,0.0201,1.5,0.5,246628,-0.5,0.5316,64.32,2025-12-15 to 2026-03-11
