| Symbol     |   Current Close | Compression Level   |
|:-----------|----------------:|:--------------------|
| GRMOVER    |          160.67 | Double              |
| MUFIN      |          114.86 | Double              |
| MARUTI     |        14857    | Single              |
| DIXON      |        10528    | Single              |
| M&M        |         3397.4  | Single              |
| RADICO     |         2649.5  | Single              |
| MCX        |         2443.3  | Single              |
| ASIANPAINT |         2376.2  | Single              |
| PHOENIXLTD |         1658.6  | Single              |
| TATACOMM   |         1597.5  | Single              |
| OBEROIRLTY |         1522.8  | Single              |
| RELIANCE   |         1393.9  | Single              |
| UNITDSPR   |         1380.8  | Single              |
| CIPLA      |         1348.2  | Single              |
| ONESOURCE  |         1346.8  | Single              |
| ABREL      |         1290.2  | Single              |
| CREDITACC  |         1265.2  | Single              |
| UNOMINDA   |         1188.5  | Single              |
| DEEPAKFERT |          996    | Single              |
| LODHA      |          988.25 | Single              |
| ASTRAMICRO |          968.6  | Single              |
| AURIONPRO  |          888.7  | Single              |
| ARE&M      |          844.95 | Single              |
| PNBHOUSING |          824.75 | Single              |
| JYOTICNC   |          820.45 | Single              |
| SBICARD    |          774.4  | Single              |
| HDBFS      |          705.25 | Single              |
| INDHOTEL   |          667.05 | Single              |
| ICICIPRULI |          654.5  | Single              |
| PROTEAN    |          590.1  | Single              |
| BLACKBUCK  |          582.7  | Single              |
| GRANULES   |          582.25 | Single              |
| PNGJL      |          552    | Single              |
| JBMA       |          551.35 | Single              |
| ITDC       |          525.7  | Single              |
| ANTELOPUS  |          514.65 | Single              |
| ATGL       |          512    | Single              |
| PATANJALI  |          508    | Single              |
| IIFL       |          496.2  | Single              |
| WESTLIFE   |          494.85 | Single              |
| BALUFORGE  |          485.65 | Single              |
| AIIL       |          481.85 | Single              |
| ABDL       |          476.1  | Single              |
| STARHEALTH |          465.5  | Single              |
| BERGEPAINT |          456.1  | Single              |
| KIRIINDUS  |          453.2  | Single              |
| VIMTALABS  |          452.05 | Single              |
| HINDPETRO  |          438.75 | Single              |
| BLUESTONE  |          437.45 | Single              |
| RHIM       |          434.65 | Single              |
| COALINDIA  |          430.65 | Single              |
| SYNGENE    |          422.2  | Single              |
| USHAMART   |          418.4  | Single              |
| ELECON     |          415.85 | Single              |
| KOTAKBANK  |          415.2  | Single              |
| KALYANKJIL |          410.1  | Single              |
| CUPID      |          406.6  | Single              |
| BLUEJET    |          405.3  | Single              |
| SUMICHEM   |          401.15 | Single              |
| CSBBANK    |          397.4  | Single              |
| THYROCARE  |          393.65 | Single              |
| KPIGREEN   |          386.15 | Single              |
| M&MFIN     |          374.3  | Single              |
| SKIPPER    |          366.35 | Single              |
| NATIONALUM |          354.6  | Single              |
| HPL        |          340    | Single              |
